"Group","GroupID","charge","Q+","Q-","sigma+","HBAcc","HBDonn","fixed"
"CH2",1, 0, 0.0, 0.0, 0.0, 0, 0, 1
"C=C",2, 0, 6.160398802218419, 3.7008033486479937, 0.005025760920859662, 0, 0, 1
"ACH",3, 0, 5.376556452714475, 6.709215572471862, 0.005629676105873791, 1, 0, 1
"CH3COCH3",109, 0, 21.97146493693031, 80.22820671592798, 0.013251924119436325, 2, 0, 1
"CH2CHO",110, 0, 14.847783614151986, 81.88069271819663, 0.01722378252164007, 2, 0, 1
"CH3COAC3",409, 0, 9.563251613672673, 16.676958027093853, 0.016233097962479823, 2, 0, 1
"c-CH2COCH2",609, 0, 13.930446933311673, 42.780464721652784, 0.016599733197501826, 2, 0, 1
"CH3COOCH3",111, 0, 28.635229934936834, 107.17496871495563, 0.010961440224349623, 2, 0, 1
"Triacetin",411, 0, 34.680237626400015, 62.82841509656805, 0.014579399121902172, 6, 0, 1
"GBLactone",511, 0, 18.045906547573743, 41.298230470195506, 0.016062747299138373, 2, 0, 1
"Phthalate",711, 0, 33.59999885046294, 69.25712065684078, 0.013239405261064442, 4, 0, 1
"CH2COOAC3",911, 0, 12.587585804690727, 64.22643701581805, 0.015802903241962513, 2, 0, 1
"CH3OCH2",113, 0, 13.009607153909418, 22.709829050097, 0.00911222502780011, 2, 0, 1
"c-CH2OCH2",413, 0, 8.12455737641886, 27.19999073982693, 0.014277823688142968, 2, 0, 1
"N(CH2)3",116, 0, 3.5986340957598135, 28.57653609212306, 0.017450662439221064, 1, 0, 1
"DMSO",35, 0, 11.358130800842233, 22.836459490383376, 0.018810944518755993, 2, 0, 1
"CH2Cl",21, 0, 9.301190301881839, 9.071037281015318, 0.008913930981288344, 0, 0, 1
"CCl4",24, 0, 18.397403406426946, 26.228087539025047, 0.006173144655277025, 0, 0, 1
"CH3CCl3",150, 0, 40.07060406583125, 20.282094231846994, 0.003946759368778837, 0, 0, 1
"ClAC3",125, 0, 37.410691806410654, 12.125783719040284, 0.0026289069995010773, 0, 0, 1
"CH3OH",106, 0, 8.309642805176754, 4.719859403560346, 0.01320836835058628, 2, 1, 1
"CH2OH",206, 0, 7.338249222609791, 4.694761788669969, 0.014473691462375355, 2, 1, 1
"CHCL3",50, 0, 43.31986899694931, 14.763623740536126, 0.00349439912116869, 0, 1, 1
"H2O",16, 0, 8.84197097770287, 12.163477850199449, 0.012282132156018132, 2, 2, 1

"CH3CN",999119, 0, 16.352847832799206, 23.942089350268695, 0.011718825862922706, 1, 0, 1
"CH3NO2",999126, 0, 16.352847832799206, 23.942089350268695, 0.011718825862922706, 4, 0, 1

"BETA", 1.0, "FPOL", 1.0, "ANORM", 50.0, "RPOWER", 0.75, "sigmaHB", 0.01329, "cHB", 1
