"Group","GroupID","SubGroup","SubGroupID","MW","Rk","Qk","Fixed","Comment"
CH2,1,CH3,1,15.035,31.91,46.689,1,new
CH2,1,CH2,2,14.027,24.54,24.639,1,new
CH2,1,CH,3,13.019,14.03,-0.53,1,new
CH2,1,C,4,12.011,6.53,-20.88,1,new
CH2,1,c-CH2,101,14.027,24.12,27.0,1,new
CH2,1,c-CH,201,13.019,16.21,5.47,1,new
C=C,2,CH2=CH,5,27.045,48.16,59.52,1,new
C=C,2,CH=CH,6,26.037,36.86,33.33,1,new
C=C,2,CH2=C,7,26.037,38.52,33.38,1,new
C=C,2,CH=C,8,25.029,28.54,11.59,1,new
C=C,2,c-CH=CH,102,26.037,36.86,51.45,1,new
ACH,3,ACH,9,13.019,19.26,20.11423652722867,1,original area: 21.02
ACH,3,AC,10310,12.011,10.89,1.7584913262810664,1,original area: 2.67
CH3COCH3,109,CH3COCH3,109,58.079,92.62,122.36711547567174,1,new
CH3COCH3,109,CH3COCH2,209,57.071,85.04,90.18310059797653,1,new
CH3COCH3,109,CH3COCH,1209,56.063,78.44,68.92393970927844,1,new
CH3COCH3,109,CH2COCH2,309,56.063,77.35,66.26680782980142,1,new
CH3COCH3,109,CH2COCH,1309,55.055,69.37,27.33381090648755,1,new
CH2CHO,110,CH3CHO,110,44.05,69.23,103.78358668735157,1,new
CH2CHO,110,CH2CHO,210,43.045,61.86,60.083308803272885,1,new
CH3COAC3,409,CH3COAC3,409,81.092,105.83,105.66,1,new
c-CH2COCH2,609,c-CH2COCH2,609,56.063,77.35,77.88,1,new
Triacetin,411,Triacetin,411,218.204,278.61,296.41,1,original area: 253.37
GBLactone,511,GBLactone,511,86.089,112.74,120.6,1,original area: 125.48
CH3COOCH3,111,CH3COOCH3,111,74.079,103.98,143.72339701378314,1,new
CH3COOCH3,111,CH3COOCH2,211,73.071,96.61,107.85972399218488,1,new
CH3COOCH3,111,CH3COOCH,2211,72.063,88.27,95.89451967917918,1,new
CH3COOCH3,111,CH2COOCH2,311,72.063,89.24,96.92789217346376,1,new
Phthalate,711,AC6H4(CH2COO)2,711,192.168,228.61,207.91327573225053,1,new
CH2COOAC3,911,CH2COOAC3,911,96.084,120.93,95.94,1,new
CH3OCH2,113,CH3OCH3,2113,46.07,77.1,103.57882166112626,1,new 5 points
CH3OCH2,113,CH3OCH2,113,45.06,63.03,62.748799132033284,1,new
CH3OCH2,113,CH3OC,1113,43.044,52.26,31.424439514256065,1,new 41 points
CH3OCH2,113,CH2OCH2,213,44.053,55.66,56.092886023971914,1,new 45 points
CH3OCH2,113,CHOCH,3213,42.035,44.83,10.123270286066749,1,new 33 points
c-CH2OCH2,413,c-CH2OCH2,413,44.053,55.66,52.12614585733358,1,new 61 points
N(CH2)3,116,N(CH2)3,116,56.086,55.65,35.63882939700444,1,new
DMSO,35,DMSO,67,78.134,102.83,99.04076860783668,1,new
CH2Cl,21,CH2Cl,44,49.48,55.24,58.08,1,new
CCl4,24,CCl4,52,153.823,129.47,138.83,1,new
CH3CCl3,150,CH3CCl3,150,133.404,131.4,146.92,1,new
ClAC3,125,ClAC3,125,73.5,79.94,76.57,1,new
CHCL3,50,CHCL3,50,119.378,108.67,114.25383256370625,1,new

CH3OH,106,CH3OH,15,32.042,53.13,68.24605212884791,1,new
CH2OH,206,CH2OH,115,31.034,45.36,43.835476268821104,1,new
CH2OH,206,CHOH,215,31.034,37.67,23.020456895154414,1,new
H2O,16,H2O,16,18.015,29.45,35.18915861434242,1,original area: 47.17
