"ID","Name","CAS","formula","MW","Fixed","Count","SubGroup1","nu1","SubGroup2","nu2","...",,,,,
1,"1-BROMO-2-CHLOROETHANE",,,,0,0,,,,,,,,,,
2,"1-BROMOBUTANE","109-65-9","C4H9Br",137.019,1,3,1,1,2,1,533,1,,,,
3,"1-BROMONAPHTHALENE","90-11-9","C10H7Br",207.07,0,0,9,6,10,1,433,1,,,,
4,"1-BROMOPENTANE","110-53-2","C5H11Br",151.046,1,3,1,1,2,3,133,1,,,,
5,"1-BROMOPROPANE","106-94-5","C3H7Br",122.993,1,3,1,1,2,1,133,1,,,,
6,"1-BUTENE","106-98-9","C4H8",56.108,1,3,1,1,2,1,5,1,,,,
7,"1-BUTYNE",,,,0,0,,,,,,,,,,
8,"1-CHLORO-2-METHYLPROPANE",,,,0,0,,,,,,,,,,
9,"1-CHLOROBUTANE","109-69-3","C4H9Cl",92.568,1,3,1,1,2,2,44,1,,,,
10,"1-CHLOROHEXANE","544-10-5","C6H13Cl",120.622,1,3,1,1,2,4,44,1,,,,
11,"1-CHLOROPENTANE","543-59-9","C5H11Cl",106.595,1,3,1,1,2,3,44,1,,,,
12,"1-CHLOROPROPANE","540-54-5","C3H7Cl",78.541,1,3,1,1,2,1,44,1,,,,
13,"1-DECANOL","112-30-1","C10H22O",158.284,1,3,1,1,2,8,115,1,,,,
14,"1-DECENE","872-05-9","C10H20",140.269,1,3,1,1,2,7,5,1,,,,
15,"1-DODECANOL",,,,0,0,,,,,,,,,,
16,"1-DODECENE","112-41-4","C12H24",168.323,1,3,1,1,2,9,5,1,,,,
17,"1-ETHYLNAPHTHALENE","1127-76-0","C12H12",156.227,1,4,1,1,2,1,9,7,10,3,,
18,"1-HEPTADECANOL",,,,0,0,,,,,,,,,,
19,"1-HEPTANAL","111-71-7","C7H14O",114.188,1,3,1,1,2,4,210,1,,,,
20,"1-HEPTANOL",,,,0,0,,,,,,,,,,
21,"1-HEPTENE","592-76-7","C7H14",98.188,1,3,1,1,2,4,5,1,,,,
22,"1-HEPTYNE",,,,0,0,,,,,,,,,,
23,"1-HEXADECANOL",,,,0,0,,,,,,,,,,
24,"1-HEXANAL","66-25-1","C6H12O",100.161,1,3,1,1,2,3,210,1,,,,
25,"1-HEXANOL","111-27-3","C6H14O",102.177,0,0,1,1,2,4,115,1,,,,
26,"1-HEXENE","592-41-6","C6H12",84.161,1,3,1,1,2,3,5,1,,,,
27,"1-HEXYNE",,,,0,0,,,,,,,,,,
28,"1-IODOPROPANE","107-08-04","C3H7I",169.993,1,3,1,1,2,1,232,1,,,,
29,"1-METHYLCYCLOHEXENE","591-49-1","C7H12",96.172,1,3,1,1,101,4,202,1,,,,
30,"1-METHYLNAPHTHALENE","90-12-0","C11H10",142.2,1,3,1,1,9,7,10,3,,,,
